ID,FilmID, PayDate ,CusID,Amount
7,870,2017-01-24 23:40:19.996 +0500,269,1.99
98,651,2017-01-25 17:16:50.996 +0500,269,0.99
678,818,2017-01-28 23:44:14.996 +0500,269,6.99
703,249,2017-01-29 02:58:02.996 +0500,269,0.99
750,159,2017-01-29 10:10:06.996 +0500,269,4.99
1099,205,2017-01-31 14:23:14.996 +0500,269,2.99
193,851,2017-01-26 07:10:14.996 +0500,270,1.99
1040,559,2017-01-31 06:03:42.996 +0500,270,4.99
1096,237,2017-01-31 13:59:15.996 +0500,271,8.99
33,367,2017-01-25 04:47:17.996 +0500,272,0.99
405,891,2017-01-27 14:01:05.996 +0500,272,6.99
1041,969,2017-01-31 06:14:49.996 +0500,272,6.99
1072,560,2017-01-31 10:21:16.996 +0500,272,0.99
122,638,2017-01-25 20:14:47.996 +0500,273,3.99
980,906,2017-01-30 22:13:45.996 +0500,273,0.99
147,138,2017-01-26 00:46:16.996 +0500,274,2.99
208,803,2017-01-26 08:38:48.996 +0500,274,4.99
301,756,2017-01-26 21:34:40.996 +0500,274,2.99
394,412,2017-01-27 11:54:37.996 +0500,274,5.99
474,322,2017-01-27 22:40:22.996 +0500,274,2.99
892,103,2017-01-30 08:31:22.996 +0500,274,4.99
336,393,2017-01-27 03:43:49.996 +0500,275,2.99
736,807,2017-01-29 08:38:33.996 +0500,276,3.99
860,126,2017-01-30 03:13:42.996 +0500,276,10.99
308,42,2017-01-26 22:30:05.996 +0500,277,6.99
1092,964,2017-01-31 12:44:23.996 +0500,278,4.99
979,855,2017-01-30 22:05:37.996 +0500,279,2.99
1019,866,2017-01-31 03:33:33.996 +0500,279,0.99
1014,167,2017-01-31 03:07:42.996 +0500,280,4.99
650,958,2017-01-28 20:14:06.996 +0500,281,2.99
754,160,2017-01-29 10:47:25.996 +0500,281,2.99
48,387,2017-01-25 06:49:12.996 +0500,282,1.99
282,980,2017-01-26 19:24:52.996 +0500,282,6.99
564,651,2017-01-28 09:40:35.996 +0500,282,0.99
423,387,2017-01-27 16:01:23.996 +0500,284,0.99
791,341,2017-01-29 16:59:08.996 +0500,284,0.99
1145,251,2017-01-31 20:42:11.996 +0500,284,6.99
81,572,2017-01-25 12:43:45.996 +0500,286,6.99
498,101,2017-01-28 01:29:47.996 +0500,287,0.99
655,73,2017-01-28 20:44:46.996 +0500,287,2.99
964,142,2017-01-30 19:21:47.996 +0500,287,2.99
93,951,2017-01-25 16:22:42.996 +0500,288,3.99
427,366,2017-01-27 16:38:30.996 +0500,288,6.99
503,659,2017-01-28 02:03:51.996 +0500,288,4.99
565,327,2017-01-28 09:54:57.996 +0500,288,5.99
160,410,2017-01-26 02:14:46.996 +0500,290,2.99
54,611,2017-01-25 07:51:51.996 +0500,291,4.99
747,434,2017-01-29 09:55:00.996 +0500,291,4.99
1012,150,2017-01-31 02:46:31.996 +0500,291,2.99
324,738,2017-01-27 01:28:30.996 +0500,292,0.99
445,382,2017-01-27 19:11:23.996 +0500,293,0.99
924,723,2017-01-30 12:39:25.996 +0500,293,4.99
1034,895,2017-01-31 05:22:06.996 +0500,293,8.99
595,130,2017-01-28 14:28:20.996 +0500,294,1.99
371,273,2017-01-27 08:36:44.996 +0500,295,3.99
162,272,2017-01-26 02:30:31.996 +0500,296,4.99
511,838,2017-01-28 03:32:30.996 +0500,296,5.99
869,745,2017-01-30 04:50:32.996 +0500,296,4.99
956,140,2017-01-30 17:58:54.996 +0500,296,2.99
143,186,2017-01-26 00:14:18.996 +0500,297,0.99
954,273,2017-01-30 17:25:55.996 +0500,297,3.99
383,213,2017-01-27 10:40:46.996 +0500,298,3.99
332,334,2017-01-27 02:55:36.996 +0500,299,5.99
606,768,2017-01-28 15:17:05.996 +0500,299,8.99
